Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
South Sudan,2023-02-22 00:20:57,6.877,31.307,18368,138,,,164.09187679994756,,,0.7513066202090593,728,SSD,0,0
Spain,2023-02-22 00:20:57,40.463667,-3.74922,13755956,119186,,,29421.494694991958,,,0.866431965906259,724,ESP,33279,1003
Sri Lanka,2023-02-22 00:20:57,7.873054,80.771797,672023,16829,,,3138.3512544802866,,,2.5042297659455106,144,LKA,41,4
Sudan,2023-02-22 00:20:57,12.8628,30.2176,63775,5011,,,145.44142115573237,,,7.857310858486868,729,SDN,46,10
Summer Olympics 2020,2023-02-22 00:20:57,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2023-02-22 00:20:57,3.9193,-56.0278,82227,1400,,,14016.746387014731,,,1.7026037676189083,740,SUR,207,2
Sweden,2023-02-22 00:20:57,60.1282,18.6435,2697159,23634,,,26706.474824418,,,0.8762553486835593,752,SWE,6686,614
Switzerland,2023-02-22 00:20:57,46.8182,8.2275,4411059,14203,,,50967.69146830051,,,0.3219861715746717,756,CHE,3585,-40
Syria,2023-02-22 00:20:57,34.802075,38.996815,57463,3164,,,328.3476728902235,,,5.5061517846266295,760,SYR,13,0
Taiwan*,2023-02-22 00:20:57,23.7,121.0,9954456,17608,,,41795.98623239293,,,0.1768856078122199,158,TWN,583591,1442
Tajikistan,2023-02-22 00:20:57,38.861,71.2761,17786,125,,,186.4821514584003,,,0.7027999550208028,762,TJK,0,0
Tanzania,2023-02-22 00:20:57,-6.369028,34.888822,42775,846,,,71.60887848308975,,,1.977790765634132,834,TZA,245,0
Thailand,2023-02-22 00:20:57,15.870032,100.992541,4727831,33902,,,6773.398983019737,,,0.7170730087433328,764,THA,1319,66
Timor-Leste,2023-02-22 00:20:57,-8.874217,125.727539,23418,138,,,1776.1873484006123,,,0.5892902895208814,626,TLS,8,0
